location,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
Aruba,NA,11.62,NA,NA,NA,NA
Afghanistan,597.029,9.59,NA,NA,37.746,0.5
Angola,276.045,3.94,NA,NA,26.664,NA
Anguilla,NA,NA,NA,NA,NA,NA
Albania,304.195,10.08,7.1,51.2,NA,2.89
Andorra,109.135,7.97,29,37.8,NA,NA
United Arab Emirates,317.84,17.26,1.2,37.4,NA,1.2
Argentina,191.032,5.5,16.2,27.7,NA,5
Armenia,341.01,7.11,1.5,52.1,94.043,4.2
Antigua and Barbuda,191.511,13.17,NA,NA,NA,3.8
Australia,107.791,5.07,13,16.5,NA,3.84
Austria,145.183,6.35,28.4,30.9,NA,7.37
Azerbaijan,559.812,7.11,0.3,42.5,83.241,4.7
Burundi,293.068,6.05,NA,NA,6.144,0.8
Belgium,114.898,4.29,25.1,31.4,NA,5.64
Benin,235.848,0.99,0.6,12.3,11.035,0.5
Bonaire Sint Eustatius and Saba,NA,NA,NA,NA,NA,NA
Burkina Faso,269.048,2.42,1.6,23.9,11.877,0.4
Bangladesh,298.003,8.38,1,44.7,34.808,0.8
Bulgaria,424.688,5.81,30.1,44.4,NA,7.454
Bahrain,151.689,16.52,5.8,37.6,NA,2
Bahamas,235.954,13.17,3.1,20.4,NA,2.9
Bosnia and Herzegovina,329.635,10.08,30.2,47.7,97.164,3.5
Belarus,443.129,5.18,10.5,46.1,NA,11
Belize,176.957,17.11,NA,NA,90.083,1.3
Bermuda,139.547,13,NA,NA,NA,NA
Bolivia,204.299,6.89,NA,NA,25.383,1.1
Brazil,177.961,8.11,10.1,17.9,NA,2.2
Barbados,170.05,13.57,1.9,14.5,88.469,5.8
Brunei,201.285,12.79,2,30.9,NA,2.7
Bhutan,217.066,9.75,NA,NA,79.807,1.7
Botswana,237.372,4.81,5.7,34.4,NA,1.8
Central African Republic,435.727,6.1,NA,NA,16.603,1
Canada,105.599,7.37,12,16.6,NA,2.5
Switzerland,99.739,5.59,22.6,28.9,NA,4.53
Chile,127.993,8.46,34.2,41.5,NA,2.11
China,261.899,9.74,1.9,48.4,NA,4.34
Cote d'Ivoire,303.74,2.42,NA,NA,19.351,NA
Cameroon,244.661,7.2,NA,NA,2.735,1.3
Democratic Republic of Congo,318.949,6.1,NA,NA,4.472,NA
Congo,344.094,7.2,1.7,52.3,47.964,NA
Colombia,124.24,7.44,4.7,13.5,65.386,1.71
Comoros,261.516,11.88,4.4,23.6,15.574,2.2
Cape Verde,182.219,2.42,2.1,16.5,NA,2.1
Costa Rica,137.973,8.78,6.4,17.4,83.841,1.13
Cuba,190.968,8.27,17.1,53.3,85.198,5.2
Curacao,NA,11.62,NA,NA,NA,NA
Cayman Islands,NA,13.22,NA,NA,NA,NA
Cyprus,141.171,9.24,19.6,52.7,NA,3.4
Czech Republic,227.485,6.82,30.5,38.3,NA,6.63
Germany,156.139,8.31,28.2,33.1,NA,8
Djibouti,258.037,6.05,1.7,24.5,NA,1.4
Dominica,227.376,11.62,NA,NA,NA,3.8
Denmark,114.767,6.41,19.3,18.8,NA,2.5
Dominican Republic,266.653,8.2,8.5,19.1,55.182,1.6
Algeria,278.364,6.73,0.7,30.4,83.741,1.9
Ecuador,140.448,5.55,2,12.3,80.635,1.5
Egypt,525.432,17.31,0.2,50.1,89.827,1.6
Eritrea,311.11,6.05,0.2,11.4,NA,0.7
Western Sahara,NA,NA,NA,NA,NA,NA
Spain,99.403,7.17,27.4,31.4,NA,2.97
Estonia,255.569,4.02,24.5,39.3,NA,4.69
Ethiopia,182.634,7.47,0.4,8.5,7.96,0.3
Finland,153.507,5.76,18.3,22.6,NA,3.28
Fiji,412.82,14.49,10.2,34.8,NA,2.3
Falkland Islands,NA,NA,NA,NA,NA,NA
France,86.06,4.77,30.1,35.6,NA,5.98
Faeroe Islands,NA,NA,NA,NA,NA,NA
Gabon,259.967,7.2,NA,NA,NA,6.3
United Kingdom,122.137,4.28,20,24.7,NA,2.54
Georgia,496.218,7.11,5.3,55.5,NA,2.6
Guernsey,NA,NA,NA,NA,NA,NA
Ghana,298.245,4.97,0.3,7.7,41.047,0.9
Gibraltar,NA,NA,NA,NA,NA,NA
Guinea,336.717,2.42,NA,NA,17.45,0.3
Gambia,331.43,1.91,0.7,31.2,7.876,1.1
Guinea-Bissau,382.474,2.42,NA,NA,6.403,NA
Equatorial Guinea,202.812,7.78,NA,NA,24.64,2.1
Greece,175.695,4.55,35.3,52,NA,4.21
Grenada,243.964,10.71,NA,NA,NA,3.7
Greenland,199.941,2.16,NA,NA,NA,NA
Guatemala,155.898,10.18,NA,NA,76.665,0.6
Guam,310.496,21.52,NA,NA,NA,NA
Guyana,373.159,11.62,NA,NA,77.159,1.6
Hong Kong,NA,8.33,NA,NA,NA,NA
Honduras,240.208,7.21,2,NA,84.169,0.7
Croatia,253.782,5.59,34.3,39.9,NA,5.54
Haiti,430.548,6.65,2.9,23.1,22.863,0.7
Hungary,278.296,7.55,26.8,34.8,NA,7.02
Indonesia,342.864,6.32,2.8,76.1,64.204,1.04
Isle of Man,NA,NA,NA,NA,NA,NA
India,282.28,10.39,1.9,20.6,59.55,0.53
Ireland,126.459,3.28,23,25.7,NA,2.96
Iran,270.308,9.59,0.8,21.1,NA,1.5
Iraq,218.612,8.83,NA,NA,94.576,1.4
Iceland,117.992,5.31,14.3,15.2,NA,2.91
Israel,93.32,6.74,15.4,35.4,NA,2.99
Italy,113.151,4.78,19.8,27.8,NA,3.18
Jamaica,206.537,11.28,5.3,28.6,66.425,1.7
Jersey,NA,NA,NA,NA,NA,NA
Jordan,208.257,11.75,NA,NA,NA,1.4
Japan,79.37,5.72,11.2,33.7,NA,13.05
Kazakhstan,466.792,7.11,7,43.1,98.999,6.7
Kenya,218.637,2.92,1.2,20.4,24.651,1.4
Kyrgyzstan,436.362,7.11,3.6,50.5,89.22,4.5
Cambodia,270.892,4,2,33.7,66.229,0.8
Saint Kitts and Nevis,NA,12.84,NA,NA,NA,2.3
South Korea,85.998,6.8,6.2,40.9,NA,12.27
Kuwait,132.235,15.84,2.7,37,NA,2
Laos,368.111,4,7.3,51.2,49.839,1.5
Lebanon,266.591,12.71,26.9,40.7,NA,2.9
Liberia,272.509,2.42,1.5,18.1,1.188,0.8
Libya,341.862,10.43,NA,NA,NA,3.7
Saint Lucia,204.62,11.62,NA,NA,87.202,1.3
Liechtenstein,NA,7.77,NA,NA,NA,2.397
Sri Lanka,197.093,10.68,0.3,27,NA,3.6
Lesotho,405.126,3.94,0.4,53.9,2.117,NA
Lithuania,342.989,3.67,21.3,38,NA,6.56
Luxembourg,128.275,4.42,20.9,26,NA,4.51
Latvia,350.06,4.91,25.6,51,NA,5.57
Morocco,419.146,7.14,0.8,47.1,NA,1.1
Monaco,NA,5.46,NA,NA,NA,13.8
Moldova,408.502,5.72,5.9,44.6,86.979,5.8
Madagascar,405.994,3.94,NA,NA,50.54,0.2
Maldives,164.905,9.19,2.1,55,95.803,NA
Mexico,152.783,13.06,6.9,21.4,87.847,1.38
Macedonia,322.688,10.08,NA,NA,NA,4.28
Mali,268.024,2.42,1.6,23,52.232,0.1
Malta,168.711,8.83,20.9,30.2,NA,4.485
Myanmar,202.104,4.61,6.3,35.2,79.287,0.9
Montenegro,387.305,10.08,44,47.9,NA,3.861
Mongolia,460.043,4.82,5.5,46.5,71.18,7
Northern Mariana Islands,194.994,NA,NA,NA,NA,NA
Mozambique,329.942,3.3,5.1,29.1,12.227,0.7
Mauritania,232.347,2.42,NA,NA,15.95,NA
Montserrat,NA,NA,NA,NA,NA,NA
Mauritius,224.644,22.02,3.2,40.7,NA,3.4
Malawi,227.349,3.94,4.4,24.7,8.704,1.3
Malaysia,260.942,16.74,1,42.4,NA,1.9
Namibia,243.811,3.94,9.7,34.2,44.6,NA
New Caledonia,NA,23.36,NA,NA,NA,NA
Niger,238.339,2.42,0.1,15.4,8.978,0.3
Nigeria,181.013,2.42,0.6,10.8,41.949,NA
Nicaragua,137.016,11.47,NA,NA,NA,0.9
Netherlands,109.361,5.29,24.4,27.3,NA,3.32
Norway,114.316,5.31,19.6,20.7,NA,3.6
Nepal,260.797,7.26,9.5,37.8,47.782,0.3
New Zealand,128.797,8.08,14.8,17.2,NA,2.61
Oman,266.342,12.61,0.5,15.6,97.4,1.6
Pakistan,423.031,8.35,2.8,36.7,59.607,0.6
Panama,128.346,8.33,2.4,9.9,NA,2.3
Peru,85.755,5.95,4.8,NA,NA,1.6
Philippines,370.437,7.07,7.8,40.8,78.463,1
Papua New Guinea,561.494,17.65,23.5,48.8,NA,NA
Poland,227.331,5.91,23.3,33.1,NA,6.62
Puerto Rico,108.094,12.9,NA,NA,NA,NA
Portugal,127.842,9.85,16.3,30,NA,3.39
Paraguay,199.128,8.27,5,21.6,79.602,1.3
Palestine,265.91,10.59,NA,NA,NA,NA
French Polynesia,NA,22.63,NA,NA,NA,NA
Qatar,176.69,16.52,0.8,26.9,NA,1.2
Romania,370.946,9.74,22.9,37.1,NA,6.892
Russia,431.297,6.18,23.4,58.3,NA,8.05
Rwanda,191.375,4.28,4.7,21,4.617,NA
Saudi Arabia,259.538,17.72,1.8,25.4,NA,2.7
Sudan,431.388,15.67,NA,NA,23.437,0.8
Senegal,241.219,2.42,0.4,16.6,20.859,NA
Singapore,92.243,10.99,5.2,28.3,NA,2.4
Sierra Leone,325.721,2.42,8.8,41.3,19.275,NA
El Salvador,167.295,8.87,2.5,18.8,90.65,1.3
San Marino,NA,5.64,NA,NA,NA,3.8
Somalia,365.769,6.05,NA,NA,9.831,0.9
Serbia,439.415,10.08,37.7,40.2,97.719,5.609
South Sudan,280.775,10.43,NA,NA,NA,NA
Sao Tome and Principe,270.113,2.42,NA,NA,41.34,2.9
Suriname,258.314,12.54,7.4,42.9,67.779,3.1
Slovakia,287.959,7.29,23.1,37.7,NA,5.82
Slovenia,153.493,7.25,20.1,25,NA,4.5
Sweden,133.982,4.79,18.8,18.9,NA,2.22
Swaziland,333.436,3.94,1.7,16.5,24.097,2.1
Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA
Seychelles,242.648,10.55,7.1,35.7,NA,3.6
Syria,376.264,NA,NA,NA,70.598,1.5
Turks and Caicos Islands,NA,NA,NA,NA,NA,NA
Chad,280.995,6.1,NA,NA,5.818,NA
Togo,280.033,6.15,0.9,14.2,10.475,0.7
Thailand,109.861,7.04,1.9,38.8,90.67,2.1
Tajikistan,427.698,7.11,NA,NA,72.704,4.8
Timor,335.346,6.86,6.3,78.1,28.178,5.9
Trinidad and Tobago,228.467,10.97,NA,NA,89.443,3
Tunisia,318.991,8.52,1.1,65.8,78.687,2.3
Turkey,171.285,12.13,14.1,41.1,NA,2.81
Taiwan,103.957,NA,NA,NA,NA,NA
Tanzania,217.288,5.75,3.3,26.7,47.953,0.7
Uganda,213.333,2.5,3.4,16.7,21.222,0.5
Ukraine,539.849,7.11,13.5,47.4,NA,8.8
Uruguay,160.708,6.93,14,19.9,NA,2.8
United States,151.089,10.79,19.1,24.6,NA,2.77
Uzbekistan,724.417,7.57,1.3,24.7,NA,4
Vatican,NA,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,252.675,11.62,NA,NA,NA,2.6
Venezuela,204.85,6.47,NA,NA,NA,0.8
British Virgin Islands,NA,13.67,NA,NA,NA,NA
United States Virgin Islands,273.67,12.26,NA,NA,NA,NA
Vietnam,245.465,6,1,45.9,85.847,2.6
Kosovo,NA,NA,NA,NA,NA,NA
Yemen,495.003,5.35,7.6,29.2,49.542,0.7
South Africa,200.38,5.52,8.1,33.2,43.993,2.32
Zambia,234.499,3.94,3.1,24.7,13.938,2
Zimbabwe,307.846,1.82,1.6,30.7,36.791,1.7
World,233.07,8.51,6.434,34.635,60.13,2.705
