iso_code	date	total_cases	new_cases	total_deaths	new_deaths	total_tests	new_tests	new_tests_smoothed
ABW	2020-03-13	2	2	0	0	NA	NA	NA
ABW	2020-03-20	4	2	0	0	NA	NA	NA
ABW	2020-03-24	12	8	0	0	NA	NA	NA
ABW	2020-03-25	17	5	0	0	NA	NA	NA
ABW	2020-03-26	19	2	0	0	NA	NA	NA
ABW	2020-03-27	28	9	0	0	NA	NA	NA
ABW	2020-03-28	28	0	0	0	NA	NA	NA
ABW	2020-03-29	28	0	0	0	NA	NA	NA
ABW	2020-03-30	50	22	0	0	NA	NA	NA
ABW	2020-04-01	55	5	0	0	NA	NA	NA
ABW	2020-04-02	55	0	0	0	NA	NA	NA
ABW	2020-04-03	60	5	0	0	NA	NA	NA
ABW	2020-04-04	62	2	0	0	NA	NA	NA
ABW	2020-04-05	64	2	0	0	NA	NA	NA
ABW	2020-04-06	64	0	0	0	NA	NA	NA
ABW	2020-04-07	71	7	0	0	NA	NA	NA
ABW	2020-04-08	74	3	0	0	NA	NA	NA
ABW	2020-04-09	77	3	0	0	NA	NA	NA
ABW	2020-04-10	82	5	0	0	NA	NA	NA
ABW	2020-04-11	86	4	0	0	NA	NA	NA
ABW	2020-04-12	92	6	0	0	NA	NA	NA
ABW	2020-04-13	92	0	0	0	NA	NA	NA
ABW	2020-04-14	92	0	0	0	NA	NA	NA
ABW	2020-04-15	92	0	0	0	NA	NA	NA
ABW	2020-04-16	93	1	1	1	NA	NA	NA
ABW	2020-04-17	95	2	1	0	NA	NA	NA
ABW	2020-04-18	96	1	2	1	NA	NA	NA
ABW	2020-04-19	96	0	2	0	NA	NA	NA
ABW	2020-04-20	97	1	2	0	NA	NA	NA
ABW	2020-04-21	97	0	2	0	NA	NA	NA
ABW	2020-04-22	97	0	2	0	NA	NA	NA
ABW	2020-04-23	100	3	2	0	NA	NA	NA
ABW	2020-04-24	100	0	2	0	NA	NA	NA
ABW	2020-04-25	100	0	2	0	NA	NA	NA
ABW	2020-04-26	100	0	2	0	NA	NA	NA
