iso,country,region,year,population,life_expectancy,gdp_cap
AFG,Afghanistan,Southern Asia,1950,7752117,32.48,2392
AFG,Afghanistan,Southern Asia,1951,7840151,32.87,2422
AFG,Afghanistan,Southern Asia,1952,7935996,33.58,2462
AFG,Afghanistan,Southern Asia,1953,8039684,34.28,2568
AFG,Afghanistan,Southern Asia,1954,8151316,34.99,2576
AFG,Afghanistan,Southern Asia,1955,8270992,35.7,2579
AFG,Afghanistan,Southern Asia,1956,8398873,36.42,2644
AFG,Afghanistan,Southern Asia,1957,8535157,37.14,2593
AFG,Afghanistan,Southern Asia,1958,8680097,37.86,2684
AFG,Afghanistan,Southern Asia,1959,8833947,38.58,2705
AFG,Afghanistan,Southern Asia,1960,8996967,39.31,2744
AFG,Afghanistan,Southern Asia,1961,9169406,40.04,2702.046831059722
AFG,Afghanistan,Southern Asia,1962,9351442,40.78,2683.150819627604
AFG,Afghanistan,Southern Asia,1963,9543200,41.51,2665.3053705256098
AFG,Afghanistan,Southern Asia,1964,9744772,42.25,2649.4950952161835
AFG,Afghanistan,Southern Asia,1965,9956318,42.98,2640.6518444870885
AFG,Afghanistan,Southern Asia,1966,10174840,43.72,2598.2702501464396
AFG,Afghanistan,Southern Asia,1967,10399936,44.46,2601.343461632841
AFG,Afghanistan,Southern Asia,1968,10637064,45.19,2623.0429512316555
AFG,Afghanistan,Southern Asia,1969,10893772,45.92,2593.648166677254
AFG,Afghanistan,Southern Asia,1970,11173654,46.64,2574.1390672200873
AFG,Afghanistan,Southern Asia,1971,11475450,46.76,2498.094078053584
AFG,Afghanistan,Southern Asia,1972,11791222,46.76,2030.9705597095874
AFG,Afghanistan,Southern Asia,1973,12108963,46.85,2031.2418793417735
AFG,Afghanistan,Southern Asia,1974,12412960,46.96,2082.8600295175365
AFG,Afghanistan,Southern Asia,1975,12689164,47.13,2151.629611296694
AFG,Afghanistan,Southern Asia,1976,12943093,47.34,2205.5926490677307
AFG,Afghanistan,Southern Asia,1977,13171294,47.48,2036.92046073833
AFG,Afghanistan,Southern Asia,1978,13341199,45.87,2127.351239045306
AFG,Afghanistan,Southern Asia,1979,13411060,44.4,2029.5334476916814
AFG,Afghanistan,Southern Asia,1980,13356500,44.08,2015.316986111631
AFG,Afghanistan,Southern Asia,1981,13171679,44.89,2259.633603961955
AFG,Afghanistan,Southern Asia,1982,12882518,44.58,2500.899403982979
AFG,Afghanistan,Southern Asia,1983,12537732,42.81,2647.981563332188
AFG,Afghanistan,Southern Asia,1984,12204306,40.52,2620.0638237028797
AFG,Afghanistan,Southern Asia,1985,11938204,42.39,2551.610449779548
AFG,Afghanistan,Southern Asia,1986,11736177,43.38,2620.1594287475386
AFG,Afghanistan,Southern Asia,1987,11604538,45.54,2358.1949590754925
AFG,Afghanistan,Southern Asia,1988,11618008,47.86,2139.6564609871157
AFG,Afghanistan,Southern Asia,1989,11868873,51.73,1935.2234843190251
AFG,Afghanistan,Southern Asia,1990,12412311,52.58,1860.6257849162819
AFG,Afghanistan,Southern Asia,1991,13299016,52.42,1644.860445389343
AFG,Afghanistan,Southern Asia,1992,14485543,52.86,1521.565965666596
AFG,Afghanistan,Southern Asia,1993,15816601,53.15,1008.773015896399
AFG,Afghanistan,Southern Asia,1994,17075728,52.69,721.0858965427418
AFG,Afghanistan,Southern Asia,1995,18110662,53.28,1028.388046775982
AFG,Afghanistan,Southern Asia,1996,18853444,53.82,941.5214815393941
AFG,Afghanistan,Southern Asia,1997,19357126,53.74,864.9294562116297
AFG,Afghanistan,Southern Asia,1998,19737770,52.8,799.5460200417778
AFG,Afghanistan,Southern Asia,1999,20170847,54.43,735.0966328781335
AFG,Afghanistan,Southern Asia,2000,20779957,54.63,686.5260802512729
AFG,Afghanistan,Southern Asia,2001,21606992,54.76,646.3619694495189
AFG,Afghanistan,Southern Asia,2002,22600774,55.65,1016.2454086306956
AFG,Afghanistan,Southern Asia,2003,23680871,56.36,1055.5574588451582
AFG,Afghanistan,Southern Asia,2004,24726689,56.92,1025.2082446622755
AFG,Afghanistan,Southern Asia,2005,25654274,57.35,1099.10456822906
AFG,Afghanistan,Southern Asia,2006,26433058,57.63,1123.8713224932205
AFG,Afghanistan,Southern Asia,2007,27100542,58.02,1247.7531177051735
AFG,Afghanistan,Southern Asia,2008,27722281,58.75,1267.6449387768632
AFG,Afghanistan,Southern Asia,2009,28394806,59.32,1502.3540731709877
AFG,Afghanistan,Southern Asia,2010,29185511,59.85,1671.5812376901677
AFG,Afghanistan,Southern Asia,2011,30117411,60.39,1626.764793261944
AFG,Afghanistan,Southern Asia,2012,31161378,60.76,1772.7649742896479
AFG,Afghanistan,Southern Asia,2013,32269592,61.25,1807.7623442837455
AFG,Afghanistan,Southern Asia,2014,33370804,61.21,1795.7358343838525
AFG,Afghanistan,Southern Asia,2015,34413603,61.16,1766.5930768713756
AFG,Afghanistan,Southern Asia,2016,35383028,61.22,1757.0234901603108
AFG,Afghanistan,Southern Asia,2017,36296111,63.38,1758.4656362220185
AFG,Afghanistan,Southern Asia,2018,37171922,63.74,1734.7232141507238
AFG,Afghanistan,Southern Asia,2019,38041757,64.08,1762.7861789611873
AFG,Afghanistan,Southern Asia,2020,38928341,64.41,1799.9332708013424
ALB,Albania,Southern Europe,1950,1263164,54.15,1784
ALB,Albania,Southern Europe,1951,1287499,54.36,1861
ALB,Albania,Southern Europe,1952,1316090,54.83,1864
ALB,Albania,Southern Europe,1953,1348113,55.43,1940
ALB,Albania,Southern Europe,1954,1382898,56.14,1997
ALB,Albania,Southern Europe,1955,1419991,56.97,2104
ALB,Albania,Southern Europe,1956,1459115,57.9,2125
ALB,Albania,Southern Europe,1957,1500180,58.93,2262
ALB,Albania,Southern Europe,1958,1543256,60.02,2363
ALB,Albania,Southern Europe,1959,1588506,61.15,2461
ALB,Albania,Southern Europe,1960,1636091,62.24,2585
ALB,Albania,Southern Europe,1961,1685926,63.26,2607.0828743373077
ALB,Albania,Southern Europe,1962,1737675,64.15,2693.1712161365044
ALB,Albania,Southern Europe,1963,1790571,64.87,2785.2655979572996
ALB,Albania,Southern Europe,1964,1843649,65.42,2880.366210704966
ALB,Albania,Southern Europe,1965,1896175,65.8,2985.47445251625
ALB,Albania,Southern Europe,1966,1947836,66.06,3097.590705274982
ALB,Albania,Southern Europe,1967,1998743,66.26,3214.7151914978563
ALB,Albania,Southern Europe,1968,2049214,66.44,3330.8468622603596
ALB,Albania,Southern Europe,1969,2099738,66.64,3443.9850495633264
ALB,Albania,Southern Europe,1970,2150704,66.89,3571.134871651329
ALB,Albania,Southern Europe,1971,2202186,67.5,3714.2983630810477
ALB,Albania,Southern Europe,1972,2254058,68.11,3859.471708802524
ALB,Albania,Southern Europe,1973,2306284,68.72,4051.6736971682585
ALB,Albania,Southern Europe,1974,2358852,69.29,4066.8091185881945
ALB,Albania,Southern Europe,1975,2411733,69.82,4080.945017130835
ALB,Albania,Southern Europe,1976,2464981,70.32,4098.083331676796
ALB,Albania,Southern Europe,1977,2518685,70.78,4116.223267300198
ALB,Albania,Southern Europe,1978,2572852,71.19,4135.36491955231
ALB,Albania,Southern Europe,1979,2627506,71.46,4155.508383996078
ALB,Albania,Southern Europe,1980,2682697,71.71,4184.658841829696
ALB,Albania,Southern Europe,1981,2737018,71.85,4207.807137914328
ALB,Albania,Southern Europe,1982,2790284,71.96,4230.956896502292
ALB,Albania,Southern Europe,1983,2844867,72.06,4255.108848322259
ALB,Albania,Southern Europe,1984,2904142,72.26,4280.263089408162
ALB,Albania,Southern Europe,1985,2969671,72.44,4302.416535367049
ALB,Albania,Southern Europe,1986,3044201,72.61,4329.5755125893465
ALB,Albania,Southern Europe,1987,3124892,72.63,4356.736206563299
ALB,Albania,Southern Europe,1988,3200972,72.85,4384.8995073996275
ALB,Albania,Southern Europe,1989,3257913,73.1,4418.06919767348
ALB,Albania,Southern Europe,1990,3286070,73.34,4458.247661796614
ALB,Albania,Southern Europe,1991,3280397,73.01,3229.250516324701
ALB,Albania,Southern Europe,1992,3245887,73.38,3015.3917471557083
ALB,Albania,Southern Europe,1993,3195196,73.86,3323.8647960876265
ALB,Albania,Southern Europe,1994,3146518,74.47,3622.0075458014226
ALB,Albania,Southern Europe,1995,3112923,74.6,4129.9758464954
ALB,Albania,Southern Europe,1996,3098699,74.39,4533.894913639563
ALB,Albania,Southern Europe,1997,3099747,72.54,4064.1333021694995
ALB,Albania,Southern Europe,1998,3110699,74.45,4450.9230693808695
ALB,Albania,Southern Europe,1999,3122700,74.63,5056.567135171486
ALB,Albania,Southern Europe,2000,3129246,74.9,5442.578714808616
ALB,Albania,Southern Europe,2001,3129701,75.21,5949.34396576542
ALB,Albania,Southern Europe,2002,3126183,75.32,6238.120489427522
